Date,Open,High,Low,Close,Adj Close,Volume
2021-12-16,5.670000,5.730000,5.660000,5.690000,5.690000,1589700
2021-12-17,5.640000,5.660000,5.590000,5.610000,5.610000,1577800
2021-12-20,5.470000,5.470000,5.410000,5.460000,5.460000,1970500
2021-12-21,5.480000,5.560000,5.480000,5.550000,5.550000,1358800
2021-12-22,5.480000,5.530000,5.460000,5.510000,5.510000,1937100
2021-12-23,5.520000,5.570000,5.500000,5.560000,5.560000,1035100
2021-12-27,5.480000,5.500000,5.470000,5.490000,5.490000,1314400
2021-12-28,5.470000,5.510000,5.470000,5.490000,5.490000,2154800
2021-12-29,5.490000,5.500000,5.470000,5.500000,5.500000,1062400
2021-12-30,5.500000,5.520000,5.430000,5.440000,5.440000,2198900
2021-12-31,5.450000,5.470000,5.420000,5.460000,5.460000,810300
